mne1,nsexe,nag,ntravail,ntpp,ndiplo,idmen,obs,same_sexe,hh_twin_after
1,1,59,1,,9,1000010,1,0,0
1,2,58,1,2,9,1000010,2,0,0
2,1,33,1,1,5,1000120,1,1,0
2,2,31,1,1,9,1000120,2,1,0
2,2,38,1,2,9,1000180,1,1,0
2,1,38,1,,5,1000180,2,1,0
2,2,49,2,,8,1000200,1,0,0
2,1,48,1,2,4,1000200,2,0,0
3,1,46,2,,7,1000380,1,1,0
3,2,32,2,,1,1000380,2,1,0
2,1,47,1,2,8,1000590,1,1,0
2,2,42,1,2,9,1000590,2,1,0
5,2,29,1,1,4,1000660,1,0,2
5,1,28,1,1,4,1000660,2,0,2
3,2,41,2,,1,1000670,1,0,0
3,1,41,1,2,1,1000670,2,0,0
2,2,35,2,,1,1000850,1,0,0
2,1,26,2,,1,1000850,2,0,0
3,1,46,1,2,8,1000900,1,0,0
3,2,46,2,,4,1000900,2,0,0
2,1,39,1,2,4,1000930,1,1,0
2,2,35,2,,4,1000930,2,1,0
3,1,43,1,1,4,1000940,1,1,0
3,2,39,1,2,4,1000940,2,1,0
2,1,27,1,2,5,1000970,1,1,0
2,2,24,2,,4,1000970,2,1,0
1,1,52,1,2,9,1000980,1,0,0
1,2,48,1,,4,1000980,2,0,0
2,1,37,1,2,5,1000990,1,0,0
2,2,36,1,2,5,1000990,2,0,0
3,2,28,2,,4,1001000,1,1,0
3,1,27,1,2,4,1001000,2,1,0
2,1,57,2,,4,1001020,1,1,0
2,2,51,2,,1,1001020,2,1,0
2,1,41,1,2,4,1001060,1,1,0
2,2,40,1,2,9,1001060,2,1,0
2,1,46,1,2,4,1001150,1,0,0
2,2,38,1,2,8,1001150,2,0,0
2,1,34,1,2,5,1001310,1,0,0
2,2,34,1,1,4,1001310,2,0,0
2,1,32,1,2,4,1001380,1,0,0
2,2,27,1,2,1,1001380,2,0,0
2,2,55,1,,3,1001410,1,0,1
2,1,53,1,,4,1001410,2,0,1
2,1,40,1,2,4,1001430,1,1,0
2,2,40,2,,4,1001430,2,1,0
5,1,32,1,2,4,1001470,1,0,0
5,2,30,2,,6,1001470,2,0,0
3,2,40,1,2,9,1001610,1,1,0
3,1,39,1,2,9,1001610,2,1,0
3,1,46,1,2,9,1001620,1,0,0
3,2,40,1,2,9,1001620,2,0,0
2,1,58,1,2,4,1001730,1,0,0
2,2,55,1,2,3,1001730,2,0,0
7,1,48,2,,7,1001860,1,1,0
7,2,39,2,,8,1001860,2,1,0
2,1,36,2,,8,1001880,1,1,0
2,2,30,2,,1,1001880,2,1,0
2,2,38,1,2,6,1001890,1,1,0
2,1,35,1,2,9,1001890,2,1,0
2,1,30,1,,5,1002090,1,0,0
2,2,29,1,,8,1002090,2,0,0
2,1,27,1,2,4,1002110,1,0,0
2,2,24,2,,1,1002110,2,0,0
2,1,38,1,2,5,1002200,1,0,0
2,2,37,2,,4,1002200,2,0,0
4,1,38,1,2,4,1002260,1,0,0
4,2,36,2,,1,1002260,2,0,0
2,1,41,1,2,9,1002330,1,0,0
2,2,39,1,,5,1002330,2,0,0
2,1,46,2,,1,1002360,1,1,0
2,2,32,1,2,1,1002360,2,1,0
3,1,49,1,2,9,1002440,1,1,0
3,2,48,1,2,9,1002440,2,1,0
2,1,45,1,2,8,1002450,1,1,0
2,2,42,1,2,9,1002450,2,1,0
3,1,54,1,2,4,1002470,1,1,0
3,2,39,1,2,4,1002470,2,1,0
2,1,43,1,,9,1002540,1,0,0
2,2,39,2,,6,1002540,2,0,0
2,1,33,1,2,8,1002610,1,0,0
2,2,32,1,2,9,1002610,2,0,0
3,1,53,2,,1,1002630,1,1,0
3,2,53,2,,1,1002630,2,1,0
2,2,42,1,1,6,1002760,1,0,0
2,1,39,1,,3,1002760,2,0,0
2,1,58,1,2,7,1002840,1,1,0
2,2,49,1,2,9,1002840,2,1,0
2,1,48,1,2,4,1003200,1,0,0
2,2,47,1,2,4,1003200,2,0,0
2,2,40,1,2,5,1003250,1,1,0
2,1,39,1,2,6,1003250,2,1,0
2,1,39,1,2,3,1003270,1,0,0
2,2,35,1,2,8,1003270,2,0,0
2,2,33,1,2,8,1003320,1,0,0
2,1,32,1,2,4,1003320,2,0,0
3,1,42,2,,1,1003600,1,1,0
3,2,41,2,,1,1003600,2,1,0
2,1,49,1,,4,1003630,1,0,0
2,2,44,1,2,4,1003630,2,0,0
2,1,54,1,,4,1003750,1,1,0
2,2,48,1,2,6,1003750,2,1,0
2,1,41,1,1,8,1003790,1,1,0
2,2,38,1,1,8,1003790,2,1,0
2,1,37,1,2,8,1003870,1,1,0
2,2,27,2,,1,1003870,2,1,0
3,1,50,1,1,4,1003890,1,0,0
3,2,46,1,1,1,1003890,2,0,0
2,1,43,1,2,5,1003930,1,0,0
2,2,42,1,2,1,1003930,2,0,0
2,2,29,2,,6,1003960,1,0,0
2,1,28,1,2,1,1003960,2,0,0
2,2,54,2,,1,1003980,1,0,0
2,1,54,1,2,1,1003980,2,0,0
3,1,49,1,2,8,1004010,1,1,0
3,2,47,2,,3,1004010,2,1,0
4,1,42,1,2,1,1004050,1,1,0
4,2,40,2,,,1004050,2,1,0
2,1,38,1,2,5,1004060,1,0,0
2,2,34,2,,7,1004060,2,0,0
0,1,60,1,2,1,1004180,1,0,0
0,2,47,1,2,1,1004180,2,0,0
2,2,27,2,,4,1004270,1,1,0
2,1,26,2,,9,1004270,2,1,0
2,1,39,1,2,6,1004320,1,1,0
2,2,35,1,2,5,1004320,2,1,0
3,1,43,1,2,8,1004390,1,0,0
3,2,40,1,2,8,1004390,2,0,0
2,2,43,1,2,8,1004400,1,0,0
2,1,41,1,2,6,1004400,2,0,0
2,2,35,2,,9,1004410,1,1,0
2,1,32,1,2,9,1004410,2,1,0
4,2,36,2,,8,1004480,1,1,1
4,1,36,1,2,8,1004480,2,1,1
3,1,52,2,,1,1004560,1,0,0
3,2,48,1,2,1,1004560,2,0,0
2,1,51,1,1,4,1004740,1,0,0
2,2,47,1,1,8,1004740,2,0,0
2,1,43,1,2,6,1004760,1,1,0
2,2,40,1,2,6,1004760,2,1,0
3,1,43,1,2,9,1004920,1,1,0
3,2,31,1,2,9,1004920,2,1,0
2,2,44,1,2,8,1005000,1,1,0
2,1,43,1,2,1,1005000,2,1,0
2,1,44,1,2,4,1005060,1,1,0
2,2,43,1,2,5,1005060,2,1,0
5,1,53,1,2,7,1005080,1,1,0
5,2,41,1,2,1,1005080,2,1,0
2,2,50,2,,9,1005120,1,0,0
2,1,43,1,2,9,1005120,2,0,0
2,1,36,1,2,1,1005140,1,0,0
2,2,35,2,,5,1005140,2,0,0
2,1,45,1,2,1,1005160,1,1,0
2,2,41,1,2,5,1005160,2,1,0
2,1,50,1,,4,1005220,1,1,0
2,2,47,1,1,4,1005220,2,1,0
3,1,41,1,,3,1005240,1,1,0
3,2,35,1,2,8,1005240,2,1,0
2,1,43,1,,8,1005270,1,1,0
2,2,42,1,2,9,1005270,2,1,0
2,1,42,2,,4,1005410,1,0,0
2,2,40,1,2,4,1005410,2,0,0
3,1,43,1,,1,1005520,1,1,0
3,2,41,2,,3,1005520,2,1,0
3,2,46,1,2,4,1005570,1,1,0
3,1,44,1,,7,1005570,2,1,0
2,1,41,1,,8,1005630,1,0,0
2,2,40,1,2,9,1005630,2,0,0
2,1,55,1,2,1,1005820,1,1,0
2,2,45,1,2,1,1005820,2,1,0
2,1,46,1,,4,1005930,1,1,0
2,2,41,1,,5,1005930,2,1,0
2,2,38,1,2,3,1005960,1,0,0
2,1,32,1,2,5,1005960,2,0,0
2,1,54,2,,6,1006020,1,1,0
2,2,49,1,2,8,1006020,2,1,0
2,2,36,2,,8,1006150,1,1,0
2,1,33,1,2,9,1006150,2,1,0
2,1,42,1,,5,1006240,1,0,0
2,2,41,1,1,4,1006240,2,0,0
1,1,54,1,,1,1006270,1,1,0
1,2,53,1,2,4,1006270,2,1,0
3,1,44,1,2,4,1006300,1,1,0
3,2,43,1,,5,1006300,2,1,0
2,1,49,1,2,9,1006490,1,1,0
2,2,44,1,2,4,1006490,2,1,0
2,1,47,1,2,9,1006510,1,0,0
2,2,45,1,2,4,1006510,2,0,0
2,1,47,1,2,4,1006570,1,1,0
2,2,45,1,2,4,1006570,2,1,0
3,2,42,2,,4,1006640,1,0,0
3,1,38,1,2,1,1006640,2,0,0
2,1,42,1,2,9,1006650,1,0,0
2,2,41,1,2,9,1006650,2,0,0
2,2,36,1,2,5,1006680,1,0,0
2,1,33,1,2,6,1006680,2,0,0
2,1,54,1,2,9,1006730,1,1,0
2,2,48,2,,7,1006730,2,1,0
2,2,42,1,,8,1006910,1,1,0
2,1,41,1,2,5,1006910,2,1,0
3,1,32,1,1,8,1006920,1,1,1
3,2,32,1,2,4,1006920,2,1,1
3,2,54,1,2,9,1006940,1,1,0
3,1,53,1,2,9,1006940,2,1,0
2,1,48,1,2,4,1006960,1,1,0
2,2,44,1,,8,1006960,2,1,0
3,1,50,1,2,1,1006970,1,1,0
3,2,45,1,2,1,1006970,2,1,0
1,1,48,1,1,1,1007060,1,0,0
1,2,46,1,2,5,1007060,2,0,0
2,1,41,1,2,5,1007100,1,1,0
2,2,38,1,2,8,1007100,2,1,0
2,2,49,1,2,9,1007190,1,1,0
2,1,49,1,1,8,1007190,2,1,0
2,1,41,1,2,4,1007250,1,1,0
2,2,35,1,2,4,1007250,2,1,0
2,2,47,2,,9,1007430,1,1,0
2,1,46,1,2,9,1007430,2,1,0
2,2,48,1,1,1,1007480,1,1,0
2,1,47,1,1,1,1007480,2,1,0
2,2,38,1,2,4,1007510,1,0,0
2,1,37,1,,1,1007510,2,0,0
2,1,29,1,2,4,1007580,1,0,0
2,2,28,1,2,4,1007580,2,0,0
2,1,31,1,2,4,1007620,1,0,0
2,2,28,1,2,9,1007620,2,0,0
2,1,51,1,,9,1007860,1,0,0
2,2,43,1,2,3,1007860,2,0,0
2,1,47,1,2,4,1007890,1,0,0
2,2,34,1,2,7,1007890,2,0,0
3,2,45,2,,9,1007950,1,0,0
3,1,45,1,2,9,1007950,2,0,0
2,1,48,1,1,1,1007970,1,0,0
2,2,44,1,1,1,1007970,2,0,0
2,1,49,1,2,1,1008000,1,0,0
2,2,44,1,2,1,1008000,2,0,0
2,1,42,2,,1,1008080,1,0,0
2,2,40,2,,1,1008080,2,0,0
3,2,54,2,,9,1008170,1,0,0
3,1,50,1,,9,1008170,2,0,0
3,1,50,1,2,1,1008260,1,0,0
3,2,44,1,2,1,1008260,2,0,0
6,1,60,2,,1,1008270,1,0,0
6,2,48,2,,1,1008270,2,0,0
1,2,51,1,2,3,1008310,1,1,0
1,1,50,1,2,4,1008310,2,1,0
2,1,57,1,2,7,1008370,1,1,0
2,2,51,1,2,9,1008370,2,1,0
3,1,40,1,,9,1008380,1,1,0
3,2,39,1,1,8,1008380,2,1,0
4,1,40,1,2,1,1008440,1,0,0
4,2,28,2,,7,1008440,2,0,0
2,2,47,1,2,8,1008520,1,1,0
2,1,44,1,2,7,1008520,2,1,0
2,1,40,1,2,8,1008530,1,0,0
2,2,40,1,2,9,1008530,2,0,0
2,1,57,1,1,1,1008640,1,1,0
2,2,38,1,1,7,1008640,2,1,0
2,1,53,2,,3,1008660,1,1,0
2,2,44,2,,3,1008660,2,1,0
2,2,41,1,2,5,1008700,1,0,0
2,1,40,1,2,8,1008700,2,0,0
3,1,50,1,2,9,1008750,1,1,0
3,2,44,1,2,9,1008750,2,1,0
2,1,45,1,1,6,1008820,1,1,0
2,2,43,1,1,3,1008820,2,1,0
2,2,32,2,,9,1008870,1,1,0
2,1,31,1,,8,1008870,2,1,0
0,1,55,1,2,4,1008970,1,1,0
0,2,54,2,,1,1008970,2,1,0
5,1,35,2,,5,1009020,1,1,0
5,2,34,2,,3,1009020,2,1,0
3,1,37,1,2,5,1009050,1,0,0
3,2,37,1,2,5,1009050,2,0,0
2,1,38,1,,8,1009070,1,1,0
2,2,35,1,2,9,1009070,2,1,0
0,1,53,1,2,1,1009110,1,1,0
0,2,50,1,1,3,1009110,2,1,0
3,2,43,1,2,1,1009180,1,1,0
3,1,38,1,2,3,1009180,2,1,0
3,1,46,1,1,9,1009240,1,0,1
3,2,45,1,1,9,1009240,2,0,1
2,1,40,1,2,9,1009270,1,0,0
2,2,38,1,2,9,1009270,2,0,0
2,2,46,1,2,8,1009300,1,0,0
2,1,45,1,2,9,1009300,2,0,0
2,1,48,1,2,4,1009320,1,1,0
2,2,43,2,,1,1009320,2,1,0
2,1,57,1,2,4,1009360,1,1,0
2,2,45,1,2,4,1009360,2,1,0
2,1,31,1,2,6,1009380,1,1,0
2,2,30,2,,4,1009380,2,1,0
2,1,35,1,2,1,1009400,1,1,0
2,2,25,2,,1,1009400,2,1,0
2,1,47,1,2,4,1009510,1,0,0
2,2,46,1,2,4,1009510,2,0,0
3,1,38,1,2,4,1009580,1,1,0
3,2,29,1,2,8,1009580,2,1,0
2,1,42,1,1,5,1009590,1,1,0
2,2,36,1,1,8,1009590,2,1,0
2,1,47,1,2,1,1009640,1,0,0
2,2,38,1,2,4,1009640,2,0,0
2,1,41,1,2,2,1009690,1,1,0
2,2,40,1,2,6,1009690,2,1,0
1,1,54,1,,1,1009740,1,1,0
1,2,48,1,1,6,1009740,2,1,0
2,1,47,1,1,6,1009810,1,0,0
2,2,41,1,1,8,1009810,2,0,0
3,1,35,1,2,1,1009920,1,1,0
3,2,29,2,,1,1009920,2,1,0
2,2,42,1,2,8,1009930,1,0,0
2,1,41,1,2,9,1009930,2,0,0
3,1,38,1,2,1,1009950,1,0,0
3,2,32,2,,1,1009950,2,0,0
2,1,38,1,1,9,1009990,1,0,0
2,2,35,1,1,9,1009990,2,0,0
1,1,53,1,2,5,1010080,1,1,0
1,2,52,1,2,4,1010080,2,1,0
3,1,46,1,,9,1010100,1,1,0
3,2,44,1,,8,1010100,2,1,0
2,2,46,1,2,9,1010130,1,0,0
2,1,46,1,,8,1010130,2,0,0
4,1,46,1,2,8,1010180,1,1,0
4,2,34,2,,8,1010180,2,1,0
3,2,29,2,,6,1010280,1,0,0
3,1,24,1,2,5,1010280,2,0,0
2,1,44,1,2,1,1010320,1,0,0
2,2,43,1,2,7,1010320,2,0,0
2,1,55,1,2,7,1010350,1,1,0
2,2,47,2,,4,1010350,2,1,0
4,1,47,1,2,9,1010520,1,0,0
4,2,43,1,2,6,1010520,2,0,0
2,2,52,1,,9,1010560,1,1,0
2,1,52,1,,9,1010560,2,1,0
4,1,36,1,2,3,1010650,1,1,0
4,2,33,2,,8,1010650,2,1,0
3,1,32,1,2,1,1010710,1,1,0
3,2,31,2,,4,1010710,2,1,0
2,1,49,1,,1,1010800,1,0,0
2,2,38,2,,4,1010800,2,0,0
2,2,42,1,2,7,1010870,1,0,0
2,1,41,1,2,5,1010870,2,0,0
