country,iso3c,year,gini,edu_exp_pct_gdp,gdp_pc_usd,secondary_enroll,urban_pop_pct
France,FRA,2015,32.7,5.47,36247,111.2,79.8
France,FRA,2016,32.4,5.52,36901,111.5,80.0
France,FRA,2017,32.1,5.41,38477,111.8,80.2
France,FRA,2018,32.4,5.44,40885,112.1,80.4
France,FRA,2019,32.0,5.39,41376,112.4,80.7
Germany,DEU,2015,31.7,4.84,41030,101.6,75.4
Germany,DEU,2016,31.5,4.89,42125,102.0,75.7
Germany,DEU,2017,31.9,4.78,44469,102.3,76.0
Germany,DEU,2018,31.4,4.92,47603,102.7,76.2
Germany,DEU,2019,31.6,4.86,46073,103.1,76.5
United States,USA,2015,41.5,4.96,56803,95.4,81.6
United States,USA,2016,41.4,5.02,57867,95.9,81.9
United States,USA,2017,41.6,4.94,59928,96.4,82.1
United States,USA,2018,41.4,4.99,62996,96.8,82.3
United States,USA,2019,41.7,4.87,65297,97.2,82.5
Brazil,BRA,2015,53.7,6.04,8538,102.2,85.7
Brazil,BRA,2016,53.9,5.97,8650,102.8,86.0
Brazil,BRA,2017,53.3,6.12,9812,103.4,86.2
Brazil,BRA,2018,53.9,6.21,8921,104.0,86.5
Brazil,BRA,2019,53.4,6.09,8717,104.6,86.8
India,IND,2015,37.8,3.88,1606,73.1,32.4
India,IND,2016,37.5,3.72,1717,74.3,32.9
India,IND,2017,37.6,3.95,1981,75.6,33.4
India,IND,2018,37.3,3.84,2011,76.8,33.9
India,IND,2019,37.8,3.91,2100,78.1,34.5
South Africa,ZAF,2015,63.0,6.18,5724,104.7,64.8
South Africa,ZAF,2016,63.3,6.28,5273,105.2,65.1
South Africa,ZAF,2017,63.1,6.11,6613,105.7,65.4
South Africa,ZAF,2018,63.0,6.22,6374,106.2,65.7
South Africa,ZAF,2019,63.2,6.09,6001,106.7,66.0
Mexico,MEX,2015,45.9,4.41,9009,92.5,79.2
Mexico,MEX,2016,45.5,4.55,8555,93.0,79.5
Mexico,MEX,2017,45.2,4.49,9304,93.5,79.8
Mexico,MEX,2018,45.5,4.37,9673,94.0,80.1
Mexico,MEX,2019,45.4,4.52,9946,94.5,80.4
Sweden,SWE,2015,27.2,6.71,50128,128.4,85.8
Sweden,SWE,2016,27.5,6.64,51325,128.8,86.0
Sweden,SWE,2017,28.0,6.78,53445,129.2,86.3
Sweden,SWE,2018,27.8,6.83,54628,129.6,86.5
Sweden,SWE,2019,27.6,6.76,55766,130.0,86.7
Japan,JPN,2015,32.9,3.21,34524,101.5,91.4
Japan,JPN,2016,33.1,3.18,38972,101.9,91.5
Japan,JPN,2017,32.8,3.25,38428,102.3,91.6
Japan,JPN,2018,32.9,3.19,39286,102.7,91.7
Japan,JPN,2019,33.0,3.27,40246,103.1,91.8
United Kingdom,GBR,2015,35.1,5.51,43876,118.9,82.9
United Kingdom,GBR,2016,35.3,5.44,40412,119.3,83.1
United Kingdom,GBR,2017,35.0,5.38,39720,119.7,83.2
United Kingdom,GBR,2018,34.8,5.47,42491,120.1,83.4
United Kingdom,GBR,2019,35.2,5.41,42330,120.5,83.5
